0 2374 43406 8459
1 76 377 286
2 177 309 283
3 67 434 261
4 89 339 221
5 187 340 211
6 65 299 223
7 188 330 235
8 105 333 209
9 203 312 265
10 83 343 239
11 119 307 277
12 234 323 319
13 75 320 325
14 231 273 350
15 92 353 318
16 227 285 283
17 67 280 294
18 123 284 236
19 202 286 239
20 69 285 229
21 172 270 269
22 101 254 217
23 150 257 228
24 67 305 224
25 111 261 219
26 156 313 261
27 91 300 229
28 159 273 230
29 90 251 224
30 129 265 222
31 92 254 237
32 106 264 246
33 147 252 218
34 89 249 272
35 130 277 242
36 98 275 254
37 130 272 299
38 122 288 281
39 113 249 238
40 131 271 281
41 105 248 307
42 163 239 257
43 125 279 273
44 157 256 275
45 123 249 321
46 112 244 287
47 154 243 275
48 118 240 282
49 182 246 287
50 135 204 304
51 182 244 331
52 133 200 332
53 131 208 314
54 180 223 328
55 138 211 325
56 196 183 277
57 149 185 332
58 184 176 302
59 149 185 339
60 137 133 307
61 188 168 305
62 137 182 345
63 208 161 340
64 154 157 336
65 215 145 365
66 153 143 309
67 156 150 370
68 238 134 392
69 139 169 378
70 186 143 356
71 229 130 379
72 216 142 362
73 138 131 357
74 198 115 403
75 216 124 393
76 164 132 377
77 171 118 382
78 266 110 437
79 266 117 436
80 150 102 415
81 193 117 421
82 244 130 418
83 197 101 417
84 197 92 452
85 267 105 442
86 241 109 444
87 181 84 438
88 188 106 431
89 241 94 416
90 173 100 378
91 234 83 389
92 235 65 397
93 291 82 382
94 202 76 450
95 240 71 419
96 320 75 343
97 190 67 442
98 267 63 417
99 282 61 424
100 310 54 372
101 269 64 396
102 255 49 467
103 275 70 435
104 222 39 434
105 273 49 473
106 304 51 440
107 309 52 437
108 250 41 443
109 276 49 447
110 297 66 450
111 280 55 408
112 296 61 450
113 346 53 457
114 287 65 439
115 264 60 438
116 296 67 438
117 296 66 475
118 307 52 462
119 313 49 436
120 335 48 438
121 351 38 434
122 344 26 426
123 358 34 395
124 367 34 428
125 323 22 406
126 375 22 404
127 350 19 443
128 320 8 406
129 361 8 381
130 374 13 403
131 399 7 458
132 366 7 416
133 388 5 386
134 420 1 403
135 385 4 414
136 374 1 384
137 439 3 434
138 397 4 371
139 422 8 414
140 416 0 376
141 427 1 391
142 403 3 410
143 470 2 383
144 441 1 384
145 454 3 387
146 429 3 372
147 426 2 332
148 451 1 372
149 458 3 358
150 458 1 353
151 450 1 361
152 473 0 312
153 477 3 275
154 449 0 268
155 472 0 335
156 456 0 298
157 476 0 271
158 482 1 269
159 459 2 255
160 470 0 226
161 497 1 226
162 522 1 205
163 559 1 194
164 587 0 181
165 576 0 130
166 567 1 119
167 602 0 98
168 643 4 85
169 633 2 53
170 628 0 53
171 638 1 34
172 655 0 28
173 660 1 14
174 694 0 9
175 708 0 5
176 740 0 5
177 749 0 2
178 742 1 0
179 797 1 0
180 892 0 1
181 928 0 0
182 970 0 0
183 1000 0 0
184 1174 0 0
185 1164 1 0
186 1209 1 0
187 1202 0 0
188 1074 0 0
189 1742 0 0
190 753 1 0
191 0 0 0
192 0 0 0
193 0 0 0
194 0 0 0
195 0 0 0
196 0 0 0
197 0 0 0
198 0 0 0
199 0 0 0
200 0 0 0
201 0 0 0
202 0 0 0
203 0 0 0
204 0 0 0
205 0 0 0
206 0 0 0
207 0 0 0
208 0 0 0
209 0 0 0
210 0 0 0
211 0 0 0
212 0 0 0
213 0 0 0
214 0 0 0
215 0 0 0
216 0 0 0
217 0 0 0
218 0 0 0
219 0 0 0
220 0 0 0
221 0 0 0
222 0 0 0
223 0 0 0
224 0 0 0
225 0 0 0
226 0 0 0
227 0 0 0
228 0 0 0
229 0 0 0
230 0 0 0
231 0 0 0
232 0 0 0
233 0 0 0
234 0 0 0
235 0 0 0
236 0 0 0
237 0 0 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
